SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead
299,SH000198,07.12.2019,05:00:00,304.8,29.6,612.8,0
300,SH000198,07.12.2019,05:30:00,317.6,36,641.6,0
301,SH000198,07.12.2019,06:00:00,304.8,26.4,614.4,0
302,SH000198,07.12.2019,06:30:00,324,36,652.8,0
303,SH000198,07.12.2019,07:00:00,326.4,35.2,657.6,0
304,SH000198,07.12.2019,07:30:00,329.6,33.6,662.4,0
305,SH000198,07.12.2019,08:00:00,336,37.6,676.8,0
306,SH000198,07.12.2019,08:30:00,330.4,31.2,665.6,0
307,SH000198,07.12.2019,09:00:00,337.6,38.4,678.4,0
308,SH000198,07.12.2019,09:30:00,348.8,44,704,0
309,SH000198,07.12.2019,10:00:00,339.2,36.8,683.2,0
310,SH000198,07.12.2019,10:30:00,334.4,36,673.6,0
311,SH000198,07.12.2019,11:00:00,334.4,33.6,672,0
312,SH000198,07.12.2019,11:30:00,343.2,41.6,692.8,0
313,SH000198,07.12.2019,12:00:00,336.8,36.8,680,0
314,SH000198,07.12.2019,12:30:00,349.6,47.2,705.6,0
315,SH000198,07.12.2019,13:00:00,344.8,43.2,696,0
316,SH000198,07.12.2019,13:30:00,342.4,41.6,689.6,0
317,SH000198,07.12.2019,14:00:00,349.6,45.6,705.6,0
318,SH000198,07.12.2019,14:30:00,350.4,48,708.8,0
319,SH000198,07.12.2019,15:00:00,342.4,39.2,689.6,0
320,SH000198,07.12.2019,15:30:00,348.8,44.8,704,0
321,SH000198,07.12.2019,16:00:00,340.8,40.8,686.4,0
322,SH000198,07.12.2019,16:30:00,344,43.2,692.8,0
323,SH000198,07.12.2019,17:00:00,343.2,43.2,691.2,0
324,SH000198,07.12.2019,17:30:00,340,42.4,683.2,0
325,SH000198,07.12.2019,18:00:00,338.4,39.2,683.2,0
326,SH000198,07.12.2019,18:30:00,336.8,38.4,678.4,0
327,SH000198,07.12.2019,19:00:00,343.2,41.6,691.2,0
328,SH000198,07.12.2019,19:30:00,343.2,41.6,691.2,0
329,SH000198,07.12.2019,20:00:00,343.2,37.6,691.2,0
330,SH000198,07.12.2019,20:30:00,345.6,41.6,696,0
331,SH000198,07.12.2019,21:00:00,336,33.6,675.2,0
332,SH000198,07.12.2019,21:30:00,348,40.8,700.8,0
333,SH000198,07.12.2019,22:00:00,343.2,40,689.6,0
334,SH000198,07.12.2019,22:30:00,343.2,40,691.2,0
